user_id,post_id,rating
11123,11181,1
14,11639,1
12731,11658,1
14195,3676,-1
10278,11522,1
2,11749,1
2,11750,1
413,1657,1
9447,8855,1
2,11764,1
2,11741,1
9452,11763,1
12096,11783,-1
1087,11778,1
12943,11101,1
10765,7714,1
2,11814,1
2,11730,1
10278,11661,1
12749,11742,1
13840,11759,1
13347,11577,1
414,7663,1
4986,9062,-1
2,10932,1
2,11093,1
10208,11160,1
10765,9556,1
1455,11301,1
172,11125,1
10268,11357,-1
14336,6424,1
14384,7989,1
2,11541,1
14448,10165,1
12722,10941,1
201,6668,1
14,8479,1
1912,11639,1
1912,4278,1
11860,11658,1
12655,10806,1
2,11638,1
9274,11522,1
2,6112,1
413,6668,1
1415,9638,1
14179,11731,1
14202,11180,1
1087,11741,1
2,11775,1
11101,11783,1
12655,11778,1
13576,11767,1
2,11742,1
2,11581,1
12101,11759,1
13347,9789,1
12096,11577,1
414,9963,1
414,4278,1
9727,2053,-1
13063,9171,-1
11389,7734,-1
9727,9253,-1
2,11091,1
2,11160,1
172,11254,1
2053,10770,-1
13262,10812,1
5820,4939,1
14437,7953,1
14439,11533,1
3478,11359,1
12731,11557,1
2,11565,1
10751,11577,1
1912,4124,1
13185,11655,-1
5584,9326,1
5584,9327,1
10575,8759,1
10575,9153,1
3913,9171,1
9068,9214,1
12739,8931,1
13223,885,1
8406,9361,1
51,9407,-1
51,4166,-1
9372,7895,-1
2,10844,1
13493,10746,-1
2,11097,1
2,11182,1
11954,10643,1
4653,9635,1
208,5698,1
9731,11389,1
24,9499,1
16,9386,1
12697,9440,1
12943,9518,0
418,9520,0
1555,8027,0
193,9527,0
2,10901,1
2,11098,1
1455,9528,0
1455,11231,1
14287,10812,1
11916,8461,1
5820,4614,1
14330,7259,1
14348,10265,1
11831,9531,1
12152,8105,1
12152,9510,1
12152,9043,1
1087,8891,1
13302,9018,1
178,9528,1
1455,9178,1
8406,9386,1
60,7,1
10904,5083,1
1415,1178,0
9424,7714,-1
13023,9386,0
13023,9542,0
2,10949,1
2,10990,1
2,11083,1
11123,11259,1
14244,10000,1
14253,751,1
13231,3554,1
421,9386,0
468,4945,0
36,9514,-1
4153,9511,0
12149,6318,-1
2,10855,1
2,10960,1
2,11046,1
11633,11259,1
2,11272,1
13347,11232,1
14244,9481,1
118,10838,1
14287,7259,1
468,11371,1
14348,5742,1
12791,9386,1
11718,10825,1
2,10982,1
2,11017,1
2,11081,1
11643,2699,-1
13682,11255,1
13465,11218,1
14287,6112,1
7366,11361,-1
14330,9644,1
14348,9145,1
567,4177,0
14350,8110,1
2,2254,1
1087,9551,1
9448,9545,1
8406,3970,1
8406,2225,1
206,9545,1
4,9350,1
13265,9386,1
12259,8027,1
12259,812,1
2,9563,1
2,9383,1
599,9383,0
2,11019,1
2,10972,1
10765,11121,1
2,11264,1
2,11276,1
14244,11301,1
118,11100,1
14287,4945,1
14217,1039,1
2,11408,1
11407,8075,-1
14348,8597,1
196,9384,1
258,9384,1
2,7363,1
2,9404,1
2,8663,1
258,9100,1
258,8990,1
258,8537,1
258,7829,1
1087,4451,1
10955,9574,1
11407,9424,1
11952,9574,1
13320,3928,1
11633,9383,-1
9372,10907,0
2,10997,1
2,11099,1
13854,11226,1
2,11277,1
14244,7047,1
11589,11295,1
9274,9545,-1
14287,10510,1
5639,221,-1
2,11407,1
13337,8365,0
11009,9386,1
36,9386,1
10904,9581,1
13325,9400,1
12280,9572,1
11574,407,1
421,1741,1
1272,984,1
13332,9574,1
2,9548,1
2,9581,1
12517,247,1
1062,10867,1
2,10935,1
2,10894,1
2,11029,1
10294,6147,1
1314,5713,1
417,10890,1
11012,9591,0
1455,11263,1
4430,3719,1
14287,9837,1
6961,9551,-1
14330,3970,1
12749,1023,0
1555,9593,0
9731,9142,1
12569,9585,1
12569,4517,1
2,9585,1
2,9593,1
12900,9503,1
119,9286,1
12900,9074,1
12749,725,1
13348,725,1
12958,9554,1
6961,9283,0
1455,9514,-1
9997,9514,0
2590,9514,-1
1455,9548,0
2,10956,1
2,10987,1
2,11109,1
21,11047,1
11916,11282,1
3490,9514,1
9997,4947,1
2,9597,1
7187,1727,1
2,5777,1
9997,9548,0
1455,1741,-1
2,10955,1
1455,1311,-1
2,11027,1
2,11071,1
2,11163,1
21,9583,1
8475,7912,1
1455,3,0
1455,1012,-1
76,9607,-1
2,10782,1
2,11022,1
2,11103,1
2,11166,1
119,10889,1
14219,10643,1
14281,10165,1
74,9606,0
13786,10484,1
14350,8706,1
2,9607,1
9240,2196,1
12805,9606,1
72,9607,1
12805,9607,1
74,9612,0
1062,10896,0
2,10947,1
2,11005,1
2,11100,1
2,11044,1
11638,10843,1
12729,11212,1
76,9606,0
